length_px,diameter_px,depth,ratio_pixel_length,ratio_pixel_diameter
311.0,79.0,1651.9,1.2962,1.3273
311.0,66.0,1670.31,1.2863,1.2807
318.0,68.0,1655.48,1.2912,1.3036
305.0,71.0,1233.01,0.9656,0.9481
299.0,69.0,1229.57,0.9656,0.9481
306.0,69.98,1228.45,0.9656,0.9481
298.0,73.0,1232.06,0.9656,0.9481
304.0,66.0,1234.48,0.9656,0.9481
304.0,67.0,1236.58,0.9656,0.9481
305.0,70.0,1230.87,0.9656,0.9481
302.0,66.0,1233.98,0.9656,0.9481
305.0,64.0,1228.19,0.9656,0.9481
311.0,67.0,1227.32,0.9656,0.9481
303.0,70.0,1234.05,0.9656,0.9481
304.0,66.0,1231.62,0.9656,0.9481
308.0,67.0,1229.71,0.9656,0.9481
302.0,72.0,1230.07,0.9656,0.9481
307.0,69.0,1230.71,0.9656,0.9481
300.0,69.0,1228.48,0.9656,0.9481
301.0,65.0,1232.17,0.9656,0.9481
300.0,65.0,1228.9,0.9684,0.9605
304.42,68.0,1231.32,0.9656,0.9481
304.0,70.11,1226.01,0.9656,0.9481
307.0,67.0,1229.7,0.9656,0.9481
303.0,75.0,1224.92,0.9656,0.9481
305.0,73.0,1228.68,0.9656,0.9481
306.0,69.0,1226.58,0.9656,0.9481
300.0,72.0,1232.02,0.9656,0.9481
301.98,71.0,1238.68,0.9656,0.9481
299.0,74.0,1225.69,0.9656,0.9481
305.0,76.0,1232.96,0.9656,0.9481
298.03,72.0,1233.01,0.9656,0.9481
292.0,71.0,1233.5,0.9656,0.9481
308.0,69.76,1231.38,0.9656,0.9481
303.0,66.0,1230.9,0.9656,0.9481
310.0,69.0,1229.35,0.9656,0.9481
304.0,75.0,1228.46,0.9656,0.9481
302.0,70.0,1229.79,0.9656,0.9481
304.0,72.0,1234.31,0.9656,0.9481
304.18,72.0,1228.65,0.9656,0.9481
306.0,71.0,1231.61,0.9656,0.9481
304.0,68.0,1231.26,0.9656,0.9481
305.0,67.0,1230.16,0.9656,0.9481
305.0,71.0,1231.48,0.9656,0.9481
308.0,67.0,1231.54,0.9656,0.9481
310.0,66.0,1228.76,0.9684,0.9481
316.0,72.0,1238.75,0.9656,0.9481
302.0,68.0,1228.99,0.9656,0.9481
312.0,69.0,1233.23,0.9656,0.9481
304.0,68.0,1230.29,0.9656,0.9481
310.0,67.0,1227.66,0.9656,0.9481
306.0,70.0,1228.54,0.9656,0.9481
305.0,68.0,1230.41,0.9656,0.9481
299.0,69.0,1233.64,0.9656,0.9481
309.0,68.0,1232.92,0.9684,0.9481
305.0,66.0,1233.11,0.9656,0.9481
304.0,69.0,1233.14,0.9684,0.9481
307.0,68.0,1229.76,0.9684,0.9481
308.0,66.0,1230.07,0.9656,0.9481
306.0,68.0,1231.15,0.9656,0.9481
305.0,74.0,1228.94,0.9656,0.9481
298.0,71.0,1233.36,0.9684,0.9481
312.0,68.0,1234.54,0.9684,0.9481
305.0,72.0,1232.12,0.9684,0.9481
305.0,69.0,1233.29,0.9684,0.9481
302.0,70.0,1230.67,0.9656,0.9481
299.0,68.0,1234.16,0.9656,0.9481
305.0,73.0,1229.15,0.9684,0.9481
306.0,72.0,1233.6,0.9656,0.9481
307.0,68.0,1232.12,0.9656,0.9481
297.0,67.0,1230.43,0.9684,0.9481
307.0,70.0,1232.17,0.9656,0.9481
301.0,71.0,1228.7,0.9684,0.9481
305.0,70.0,1230.62,0.9684,0.9481
303.0,73.0,1227.98,0.9656,0.9481
307.0,67.0,1232.73,0.9656,0.9481
303.0,68.0,1231.15,0.9684,0.9481
307.0,70.0,1234.53,0.9684,0.9481
300.0,70.0,1233.17,0.9684,0.9481
302.0,73.0,1231.76,0.9684,0.9481
306.0,69.0,1227.85,0.9684,0.9481
310.0,66.0,1234.7,0.9656,0.9481
304.0,68.0,1232.34,0.9656,0.9481
288.0,71.0,1226.58,0.9684,0.9481
290.0,69.0,1730.94,1.3589,1.4038
311.0,69.0,1747.37,1.3589,1.3774
305.0,65.0,1751.68,1.3589,1.3774
298.0,77.0,1750.36,1.3589,1.3774
309.0,65.0,1745.09,1.3534,1.3519
299.0,77.0,1750.95,1.3589,1.3774
304.0,76.0,1731.58,1.3534,1.3519
302.0,65.0,1741.91,1.3534,1.3519
303.0,69.0,1731.12,1.3589,1.4038
305.0,65.0,1733.15,1.3589,1.4038
299.0,65.0,1745.49,1.3534,1.3519
292.0,81.0,1755.2,1.348,1.3519
301.74,66.0,1743.15,1.3534,1.3519
304.0,65.0,1743.27,1.348,1.3519
304.0,80.0,1749.59,1.348,1.3519
313.0,75.0,1762.71,1.3589,1.4038
319.0,65.0,1748.86,1.3589,1.4038
301.0,76.0,1736.49,1.3589,1.4038
337.0,78.0,1746.09,1.3589,1.4038
317.82,71.0,1739.05,1.3589,1.3774
296.0,67.0,1736.24,1.3589,1.4038
309.0,69.0,1733.62,1.3589,1.4038
297.25,66.0,1754.21,1.3589,1.4038
305.0,70.0,1747.59,1.3589,1.4038
311.0,64.0,1746.79,1.3589,1.4038
308.0,72.0,1752.85,1.3534,1.3519
299.0,64.0,1749.67,1.3534,1.3519
306.0,67.0,1751.93,1.3534,1.3519
307.0,67.0,1739.27,1.3589,1.4038
304.0,67.0,1739.21,1.3589,1.4038
307.0,74.0,1747.23,1.3589,1.4038
307.19,76.19,1730.35,1.3589,1.3774
304.0,89.0,1745.46,1.3589,1.3774
308.0,67.0,1746.94,1.348,1.3519
296.0,85.0,1750.93,1.3589,1.4038
311.0,65.0,1744.06,1.3534,1.3774
307.75,72.5,1745.55,1.3534,1.3519
314.0,71.0,1744.55,1.3589,1.3774
308.86,81.0,1749.41,1.3534,1.3519
314.0,80.0,1782.79,1.3589,1.4038
317.0,69.0,1734.61,1.348,1.3519
308.0,63.0,1749.86,1.3589,1.4038
320.0,72.0,1737.48,1.3589,1.4038
315.41,70.0,1739.78,1.348,1.3519
309.0,73.0,1749.64,1.348,1.3519
319.0,76.0,1749.31,1.348,1.3519
308.0,87.0,1729.68,1.3534,1.3519
307.0,69.0,1740.56,1.3589,1.4038
307.0,74.0,1748.65,1.3589,1.3774
302.0,84.0,1746.86,1.348,1.3519
306.0,69.0,1749.04,1.348,1.3519
315.0,69.0,1733.5,1.348,1.3519
311.0,70.0,1733.21,1.3589,1.4038
308.0,65.93,1755.74,1.3589,1.4038
317.0,70.16,1756.57,1.3589,1.4038
299.0,70.0,1727.27,1.3534,1.3774
316.0,80.0,1750.87,1.3534,1.3774
310.0,80.0,1743.33,1.348,1.3519
299.0,67.0,1747.22,1.348,1.3519
300.0,77.0,1741.95,1.3534,1.3774
282.0,61.0,1748.56,1.348,1.3519
320.0,73.0,1745.44,1.3589,1.4038
312.0,74.24,1748.68,1.3589,1.4038
301.0,72.0,1745.77,1.3534,1.3774
305.0,75.0,1748.98,1.3589,1.3774
306.0,70.0,1749.86,1.3589,1.4038
301.0,74.0,1748.73,1.3534,1.3774
300.0,79.0,1748.46,1.3589,1.4038
315.0,72.0,1735.07,1.3589,1.3774
306.0,71.0,1741.35,1.3589,1.4038
316.0,72.0,1773.17,1.3589,1.3774
300.0,67.0,1743.61,1.3534,1.3774
306.0,67.82,1742.03,1.348,1.3519
301.0,68.0,1750.57,1.3534,1.3519
310.0,65.0,1748.9,1.3534,1.3519
314.0,71.0,1755.32,1.348,1.3519
289.0,68.0,1337.75,1.0433,1.0282
286.0,74.0,1338.78,1.0433,1.0282
296.0,70.0,1323.12,1.0498,1.058
292.0,73.0,1320.45,1.0433,1.0282
289.0,75.0,1339.76,1.0498,1.058
290.0,70.0,1313.42,1.0433,1.0282
282.0,70.0,1347.58,1.0433,1.0282
289.0,71.0,1327.01,1.0433,1.0282
301.0,73.0,1321.37,1.0433,1.0282
323.0,70.0,1327.92,1.0498,1.058
308.0,73.0,1332.16,1.0433,1.0282
298.65,76.0,1328.29,1.0498,1.058
303.0,70.0,1315.34,1.0433,1.0282
302.0,76.0,1327.3,1.0498,1.058
300.0,70.0,1319.73,1.0466,1.0429
302.0,67.0,1322.68,1.0466,1.0429
301.0,69.0,1319.13,1.0433,1.0282
318.0,75.0,1316.68,1.0433,1.0282
309.0,67.0,1332.72,1.0498,1.058
292.0,73.0,1334.31,1.0433,1.0282
291.0,72.0,1319.23,1.0466,1.0429
294.0,78.0,1333.43,1.0466,1.0429
313.0,75.0,1347.18,1.0498,1.058
297.0,73.0,1323.68,1.0433,1.0282
311.0,69.0,1319.26,1.0433,1.0282
291.0,77.0,1331.08,1.0433,1.0282
297.0,74.0,1332.73,1.0498,1.058
289.04,73.0,1324.4,1.0498,1.058
310.0,73.0,1326.05,1.0498,1.058
