7_z,8_z,9_z,10_z,11_z,164_z,timestamp,7_z,7_vx,8_z,8_vx,9_z,9_vx,10_z,10_vx,11_z,11_vx,164_z,164_vx
,,,,1.3088280572416535,,,,,,,,,,,,,,
,,,,1.307496179951143,,,,,,,,,,,,0.25,,
,,,,1.3105435682546556,,,,,,,,,,,,0.25,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
1.5083338592567563,,,,1.3105435682546556,,,,,,,,,,,,0.0,,
1.5193111009267082,,,,1.3088280572416535,,,,4.25,,,,,,,,0.0,,
1.516689410908039,,,,1.3105435682546556,,,,0.25,,,,,,,,0.0,,
1.516689410908039,,,,1.3105435682546556,,,,0.0,,,,,,,,0.0,,
1.519743337210306,,,,1.3105435682546556,,,,0.25,,,,,,,,0.0,,
1.519743337210306,,,,1.3105435682546556,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3105435682546556,,,,0.25,,,,,,,,0.0,,
1.52252165854523,,,,1.3105435682546556,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.5220804043565574,,,,1.3088280572416535,,,,0.5,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.5,,,,,,,,0.0,,
1.52252165854523,,,,1.3088280572416535,,,,0.0,,,,,,,,0.0,,
1.5219387512571922,,,,1.3088280572416535,,,,0.5,,,,,,,,0.0,,
