7_z,8_z,9_z,10_z,11_z,timestamp,7_z,7_vx,8_z,8_vx,9_z,9_vx,10_z,10_vx,11_z,11_vx
1.747325304299228,,,,1.548136220413158,,,,,,,,,,,
1.747325304299228,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.25
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.747325304299228,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.747325304299228,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7447277165049622,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.748683665777729,,,,1.5454592547540196,,,0.25,,,,,,,,0.0
1.748683665777729,,,,1.5454592547540196,,,0.0,,,,,,,,0.0
1.7404465676468808,,,,1.5454592547540196,,,0.5,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.25,,,,,,,,0.25
1.7471613026265815,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7437781974796818,,,,1.548136220413158,,,0.25,,,,,,,,0.0
1.7437781974796818,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.25,,,,,,,,0.0
1.7471613026265815,,,,1.548136220413158,,,0.0,,,,,,,,0.0
1.7437781974796818,,,,1.548136220413158,,,0.25,,,,,,,,0.0
